#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,ttf-fira-code,"Monospaced font with programming ligatures."
,firefox,"Standalone web browser from mozilla.org"
,ttf-font-awesome,"provides extended glyph support."
,ttf-dejavu,"properly displays emojis."
,lf,"is an extensive terminal file manager that everyone likes."
,thunderbird,"Standalone mail and news reader from mozilla.org"
,libx11,"X11 client-side library."
,libxft,"FreeType-based font drawing library for X."
,xorg-xprop,"is a tool for detecting window properties."
,libxinerama,"X11 Xinerama extension library."
,lxappearance,"Feature-rich GTK+ theme switcher"
,nemo,"Cinnamon file manager (Nautilus fork)"
,dunst,"is a suckless notification system."
,keepassxc,"Cross-platform community-driven port of Keepass password manager"
,ufw,"Uncomplicated and easy to use CLI tool for managing a netfilter firewall"
,nsxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,vlc,"Multi-platform MPEG, VCD/DVD, and DivX player"
,mpv,"a free, open source, and cross-platform media player"
,gnome-keyring,"serves as the system keyring."
,neovim,"a tidier vim with some useful features"
,mpc,"is a terminal interface for mpd."
,man-db,"lets you read man pages of programs."
A,librewolf-bin,"is the default browser of LARBS which also comes with ad-blocking and other sensible and necessary features by default."
A,arkenfox-user.js,"provides hardened security settings for Firefox and Librewolf to avoid Mozilla spyware and general web fingerprinting."
,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"is an emoji font."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,maim,"can take quick screenshots at your request."
,unzip,"unzips zips."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,btop,"A monitor of system resources, bpytop ported to C++"
G,https://github.com/me0mar/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/me0mar/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/me0mar/dwm.git,"is the window manager."
